time,P,G(i),H_sun,T2m,WS10m,Int
20050111:0611,0.0,0.0,0.0,7.96,4.48,0.0
20050111:0711,0.0,0.0,0.0,8.12,4.28,0.0
20050111:0811,7.8,7.57,5.83,8.13,4.14,0.0
20050111:0911,200.3,36.89,10.65,8.2,4.0,0.0
20050111:1011,130.2,27.43,13.59,8.26,4.0,0.0
20050111:1111,288.8,48.24,14.4,8.33,3.93,0.0
20050111:1211,90.6,21.76,13.0,8.34,4.0,0.0
20050111:1311,37.0,13.24,9.53,8.33,4.07,0.0
20050111:1411,3.9,6.62,4.27,8.19,3.79,0.0
20050111:1511,0.0,0.0,0.0,7.94,3.45,0.0
20050111:1611,0.0,0.0,0.0,7.12,2.97,0.0
20050111:1711,0.0,0.0,0.0,6.5,2.9,0.0
20050111:1811,0.0,0.0,0.0,6.07,3.1,0.0
20050111:1911,0.0,0.0,0.0,5.6,3.45,0.0
20050111:2011,0.0,0.0,0.0,5.57,3.59,0.0
20050111:2111,0.0,0.0,0.0,5.8,3.59,0.0
20050111:2211,0.0,0.0,0.0,6.01,3.66,0.0
20050111:2311,0.0,0.0,0.0,5.95,3.79,0.0
20050112:0011,0.0,0.0,0.0,6.12,4.14,0.0
20050112:0111,0.0,0.0,0.0,5.74,4.41,0.0
20050112:0211,0.0,0.0,0.0,5.26,4.55,0.0
20050112:0311,0.0,0.0,0.0,4.59,4.55,0.0
20050112:0411,0.0,0.0,0.0,4.4,4.62,0.0
20050112:0511,0.0,0.0,0.0,4.76,4.83,0.0
20050112:0611,0.0,0.0,0.0,5.37,4.83,0.0
20050112:0711,0.0,0.0,0.0,5.48,4.76,0.0
20050112:0811,17.0,9.46,5.94,6.07,4.55,0.0
20050112:0911,26.8,11.35,10.78,6.61,4.34,0.0
20050112:1011,60.2,17.03,13.74,7.23,4.14,0.0
20050112:1111,90.9,21.76,14.56,7.76,4.0,0.0
20050112:1211,103.7,23.65,13.18,8.03,4.07,0.0
20050112:1311,42.6,14.19,9.71,8.11,4.14,0.0
20050112:1411,42.6,14.19,4.45,8.04,4.07,0.0
20050112:1511,0.0,0.0,0.0,7.89,4.07,0.0
20050112:1611,0.0,0.0,0.0,7.77,4.21,0.0
20050112:1711,0.0,0.0,0.0,7.35,4.34,0.0
20050112:1811,0.0,0.0,0.0,6.88,4.55,0.0
20050112:1911,0.0,0.0,0.0,6.46,4.41,0.0
20050112:2011,0.0,0.0,0.0,5.83,4.28,0.0
20050112:2111,0.0,0.0,0.0,5.4,4.41,0.0
20050112:2211,0.0,0.0,0.0,4.93,4.48,0.0
20050112:2311,0.0,0.0,0.0,4.51,4.55,0.0
20050113:0011,0.0,0.0,0.0,3.98,4.62,0.0
20050113:0111,0.0,0.0,0.0,3.46,4.62,0.0
20050113:0211,0.0,0.0,0.0,3.08,4.69,0.0
20050113:0311,0.0,0.0,0.0,2.96,4.76,0.0
20050113:0411,0.0,0.0,0.0,2.67,4.76,0.0
20050113:0511,0.0,0.0,0.0,2.38,4.83,0.0
20050113:0611,0.0,0.0,0.0,2.34,5.03,0.0
20050113:0711,0.0,0.0,0.0,2.28,5.31,0.0
20050113:0811,540.2,77.14,6.06,2.91,5.52,0.0
20050113:0911,389.9,59.4,10.91,3.51,5.59,0.0
20050113:1011,197.5,35.95,13.89,3.98,5.38,0.0
20050113:1111,126.2,26.49,14.73,4.31,6.0,0.0
20050113:1211,67.4,17.97,13.36,4.27,5.52,0.0
20050113:1311,112.8,24.6,9.9,4.03,5.1,0.0
20050113:1411,536.6,77.32,4.64,3.64,5.66,0.0
20050113:1511,0.0,0.0,0.0,3.12,5.03,0.0
20050113:1611,0.0,0.0,0.0,2.67,4.9,0.0
20050113:1711,0.0,0.0,0.0,2.54,4.62,0.0
20050113:1811,0.0,0.0,0.0,2.18,4.55,0.0
20050113:1911,0.0,0.0,0.0,1.99,5.03,0.0
20050113:2011,0.0,0.0,0.0,1.85,5.03,0.0
20050113:2111,0.0,0.0,0.0,1.86,5.1,0.0
20050113:2211,0.0,0.0,0.0,1.79,5.24,0.0
20050113:2311,0.0,0.0,0.0,1.86,5.45,0.0
20050114:0011,0.0,0.0,0.0,1.75,5.38,0.0
20050114:0111,0.0,0.0,0.0,1.44,5.24,0.0
20050114:0211,0.0,0.0,0.0,1.14,5.24,0.0
20050114:0311,0.0,0.0,0.0,1.08,5.17,0.0
20050114:0411,0.0,0.0,0.0,1.0,5.1,0.0
20050114:0511,0.0,0.0,0.0,1.22,5.1,0.0
20050114:0611,0.0,0.0,0.0,1.58,5.17,0.0
